type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS,seq_time,speedup,time_s,edp,power_efficiency,instantaneous_power,gflops,joules_per_gflop,cache_miss_rate
Parallel,1024,4,64,31.639643,1.433016,47029523,826696,536870914,357999295,113.591071,3.590150211239741,0.031639643,0.04534011465328801,0.022079057735573084,45.29178790038813,67.8731946501419,0.02111313615613059,0.1313676413804111
Parallel,2048,4,64,303.2443,8.223589,378962024,6899174,4294967298,2862794838,920.639072,3.03596496949819,0.3032443,2.4937564897927005,0.0368749338032336,27.11869275036662,56.6535601295721,0.14515573215861224,0.13237484536780486
Parallel,3072,4,64,1056.139352,25.550895,1276619285,25193972,14495514626,9661910725,3113.594459,2.9480905650412694,1.056139352,26.98530568832004,0.04133473023156332,24.192730771384042,54.90000764217334,0.46540785871170254,0.13212907067095675
Parallel,4096,4,64,2554.699741,59.977855,3036122403,60066539,34359738370,22902293295,7472.435349,2.924975968438085,2.554699741,153.22541063423554,0.042594049770536144,23.477457658692423,53.79847630085934,1.1148615931905483,0.13256848839949328
Parallel,5120,4,64,5092.93967,117.654088,5905866003,110797736,67108864002,44731031212,14639.75145,2.874518921996184,5.09293967,599.205172112871,0.04328740085937345,23.10141011350327,52.70737008357297,2.23221321446028,0.13203062489235956
Parallel,6144,4,64,8943.737803,204.807722,10225268195,186408268,115964116994,77295213126,25542.947952,2.855958941845558,8.943737803,1831.7465655977148,0.04366894820010741,22.899566882573563,51.86382675623703,3.9489512211007507,0.1322885050893339
Parallel,7168,4,64,14329.084788,325.792401,16117878973,270748809,184146722818,122741927654,41376.450127,2.8875849880971476,14.329084788,4668.306937215096,0.04398225601339302,22.736441707207796,51.40502008061675,6.3377545712280785,0.13131518529214445
Parallel,8192,4,64,21890.799154,492.262278,24230303424,420273643,274877906946,183218263807,62302.208832,2.8460454272915756,21.890799154,10776.014658788512,0.04446978802222989,22.48717712574012,50.22711231513408,9.80072823839556,0.13224829730688814
Parallel,1024,5,64,26.38997,1.475509,37812994,656609,429916162,286795090,113.591071,4.304327401660554,0.026389970000000002,0.038938638244730005,0.017885333129110025,55.91173464767106,81.37499390867059,0.018132216411051342,0.13184672722256158
Parallel,2048,5,64,269.910473,7.537711,302509292,4229981,3436183554,2290856329,920.639072,3.41090533378451,0.26991047300000004,2.0345071413473033,0.035808015589878686,27.926708127401927,63.65025037024034,0.11842390180957174,0.13205074808512796
Parallel,3072,5,64,960.270163,23.441689,1021134695,14708960,11596726274,7729785115,3113.594459,3.2424150816815493,0.960270163,22.51035451702531,0.04096420539492696,24.411556146621624,60.38098519572559,0.3882296541537625,0.13210389160992866
Parallel,4096,5,64,2348.93433,54.672801,2436529995,37104056,27487895554,18321969296,7472.435349,3.181202323778886,2.34893433,128.42281918615834,0.04296348983473519,23.275576631382453,58.51119450921389,0.93439898909243,0.1329840671402029
Parallel,5120,5,64,4483.921668,101.043938,4715393324,85705777,53687091202,35784837979,14639.75145,3.2649436216689947,4.483921668,453.07310301824856,0.04437595917926318,22.534724172616837,59.86622333653131,1.6878288351679167,0.13177070486576423
Parallel,6144,5,64,8108.525066,180.847153,8175492748,126759834,92771713026,61838552705,25542.947952,3.1501349190008163,8.108525066,1466.4036732152372,0.044836343461818286,22.303335258629634,57.20602257406896,3.1613306582509475,0.1322070519179367
Parallel,7168,5,64,12893.797269,284.450866,12903872860,200878619,147317587970,98195784832,41376.450127,3.209019752969097,12.893797269,3667.651799195485,0.04532873269227452,22.061062390355165,57.12722760384515,4.9792520647519405,0.1314096412801916
Parallel,8192,5,64,19555.364247,425.507337,19435083002,324216774,219902640130,146576924323,62302.208832,3.185939573667507,19.555364247,8320.950964805981,0.04595776041107371,21.75911078032092,56.22557646527483,7.567860816203375,0.1325930605500525
Parallel,1024,6,64,24.485982,1.45337,32774137,539457,358088706,239180436,113.591071,4.639024524317628,0.024485982,0.03558719165934,0.016847727694943474,59.3551853464566,87.70257398702654,0.016571577479755507,0.13702683023790457
Parallel,2048,6,64,226.753427,7.231422,252668517,4357200,2863661058,1909756179,920.639072,4.060088900001499,0.22675342699999998,1.639749720583194,0.03135668572515889,31.891125508766844,75.76454041420067,0.09544599571865948,0.1323040709481061
Parallel,3072,6,64,790.374354,21.543914,850180018,16007704,9663676418,6441287539,3113.594459,3.9393920655983226,0.790374354,17.027757110381557,0.036686664920775304,27.257860646627208,73.36024784022787,0.2936728628142143,0.13198914236515968
Parallel,4096,6,64,1994.748477,52.150258,2027623526,32196594,22906667010,15270415292,7472.435349,3.7460539186565325,1.9947484770000001,104.02664772065708,0.038250021255887175,26.143776321329156,68.90039273457732,0.7568934795610919,0.13278116457397524
Parallel,5120,6,64,3908.683587,99.019568,3926195859,61375620,44739592194,29823023929,14639.75145,3.7454429667038687,3.908683587,387.03616023343045,0.03947385012828979,25.333226851447364,68.67669127600837,1.4418220528715493,0.13164982425481525
Parallel,6144,6,64,6716.459177,167.042646,6790078834,117924454,77309411330,51530162963,25542.947952,3.803037773157301,6.716459177,1121.9351126770623,0.040208050685451906,24.870641151519948,69.0626497897048,2.418711800208122,0.13176901534108196
Parallel,7168,6,64,10840.626322,268.077872,10715825880,167101278,122764656642,81828614203,41376.450127,3.816795164595841,10.840626322,2906.132035548947,0.040438348160268894,24.72900218467654,67.94689433849116,3.945402871020359,0.13095450759334912
Parallel,8192,6,64,16715.740467,405.865943,16175518851,270962853,183252287490,122147847143,62302.208832,3.7271581809370766,16.715740467,6784.3497675822155,0.04118537353354627,24.280464499987623,65.77702196002873,6.170330168590422,0.13242573839277838
Parallel,1024,7,64,22.520427,1.487121,29729645,478051,307232770,204871806,113.591071,5.04391284410371,0.022520427000000003,0.033490599920667004,0.015143641304238191,66.03431631203084,95.35714611450305,0.015595275871766267,0.14511340325666872
Parallel,2048,7,64,204.82166,7.43234,218160749,2946482,2454716418,1636654107,920.639072,4.494832587530049,0.20482166000000002,1.5223042164844,0.02755816606882893,36.28688489293564,83.87720900221196,0.08860976764026565,0.13329679623013954
Parallel,3072,7,64,713.867922,22.020041,730289276,10544944,8283226114,5521145746,3113.594459,4.361583372841341,0.713867922,15.719400911024803,0.032419009664877554,30.8460995674211,81.22238961733316,0.2711080171827503,0.1322713272927246
Parallel,4096,7,64,1748.535355,50.734681,1734752012,25863303,19634585602,13089428427,7472.435349,4.273539752932248,1.748535355,88.71138345314677,0.03446430174657056,29.015530543847653,78.60233027544359,0.6454602659006687,0.13253076875546904
Parallel,5120,7,64,3424.343974,96.382695,3353287507,50081120,38347997186,25562743510,14639.75145,4.275198858863236,3.4243439739999997,330.0475008211299,0.03552861822342693,28.146324005942287,78.39033053868087,1.229522752840556,0.1311787017574312
Parallel,6144,7,64,6000.444219,164.633438,5835546606,91640095,66265284610,44170847861,25542.947952,4.256842830255797,6.000444219,987.873761301195,0.03644729947873651,27.436875003137164,77.3036880335009,2.1296970712270964,0.13211307657855512
