type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS
Parallel,1024,16,512,214.808041,6.552029,56832991,27747846,268435470,146205489,0
Parallel,2048,16,512,244.762390,7.176615,78275175,17714222,1073741826,537315161,0
Parallel,3072,16,512,4340.248791,111.207597,284829157,86153418,3758096386,1842097731,0
Parallel,4096,16,512,1839.293535,49.920972,626921698,94105514,8589934594,4256225849,0
Parallel,5120,16,512,16139.025412,410.774320,1279563590,549993980,16911433730,9575404581,0
Parallel,6144,16,512,12908.957390,335.035897,2133736038,722173652,28991029250,14835028257,0
Parallel,7168,16,512,85287.766360,1897.869564,3477466426,1070657666,46170898434,22819816433,0
Parallel,8192,16,512,16945.216217,410.388826,4971503130,935260965,68719476738,34473308818,0
Parallel,1024,16,128,28.578216,1.670888,12727420,1102363,134217742,83508875,0
Parallel,2048,16,128,161.052290,5.319274,84895110,1366651,1073741826,585247302,0
Parallel,3072,16,128,658.108130,19.444566,290330920,15519403,3623878658,2047655460,0
Parallel,4096,16,128,1529.235213,43.195444,685415102,22526164,8589934594,4844496086,0
Parallel,5120,16,128,3128.901248,86.467162,1344247867,117431049,16777216002,9386555225,0
Parallel,6144,16,128,5350.344254,147.128118,2289698287,55492173,28991029250,16193212416,0
Parallel,7168,16,128,8943.730670,244.864474,3624530579,58588566,46036680706,25313903757,0
Parallel,8192,16,128,14726.715017,378.916638,5871015115,146646938,68719476738,38039025765,0
Parallel,1024,16,128,27.703959,1.608285,12436521,1170441,134217742,82615121,0
Parallel,2048,16,128,171.190136,5.131326,85078872,1463463,1073741826,593628280,0
Parallel,3072,16,128,695.816471,19.573313,295314370,39826153,3623878658,2012439569,0
Parallel,4096,16,128,1588.871695,42.244886,683959665,20017499,8589934594,4886747994,0
Parallel,5120,16,128,3402.333972,93.062875,1383481177,256097955,16777216002,9123560661,0
Parallel,6144,16,128,5517.994926,145.884850,2304702672,133032288,28991029250,16116630231,0
Parallel,7168,16,128,9481.813836,255.171511,3636685138,89774402,46036680706,25365026482,0
Parallel,8192,16,128,14100.235683,346.117645,5823597028,120262995,68719476738,37638676657,0
Parallel,1024,16,128,63.875943,1.374960,11798308,2304856,134217742,95923806,0
Parallel,2048,16,128,174.547640,5.334212,86502126,2666167,1073741826,590894711,0
Parallel,3072,16,128,711.916058,20.336763,302723454,56590153,3623878658,1968557562,0
Parallel,4096,16,128,1538.811916,39.707877,683327374,19355211,8589934594,4787009686,0
Parallel,5120,16,128,3343.550567,86.786833,1327145403,26886446,16777216002,9483551075,0
Parallel,6144,16,128,5497.654078,142.046579,2357959278,402181870,28991029250,15712974061,0
Parallel,7168,16,128,9264.160016,240.304727,3636488383,56386823,46036680706,25552776651,0
Parallel,8192,16,128,14729.788757,366.733781,6016939269,913464987,68719476738,38035565161,0
Parallel,1024,16,128,28.903745,1.419253,12489632,192513,134217742,82002537,0
Parallel,2048,16,128,170.169163,5.550250,86335535,4193182,1073741826,584086375,0
Parallel,3072,16,128,686.667707,19.744676,296058730,41551842,3623878658,2003898005,0
Parallel,4096,16,128,1592.640486,42.334832,684363338,19189416,8589934594,4899763506,0
Parallel,5120,16,128,3288.909711,89.187420,1319421733,23328423,16777216002,9676444206,0
Parallel,6144,16,128,5667.990259,150.280589,2284696410,35479982,28991029250,16539085057,0
