type,blockSize,size,time,,,,,,,,,,
SYCL_CPU,128,6144,40670.54978,,,,,,,,,,
SYCL_CPU,128,7168,66968.39628,,,,,,,,,,
SYCL_CPU,128,8192,99719.62989,,,,,,,,,,
SYCL_GPU,8,1024,11.979873,,Sum of 11.979873,Column Labels,,,,,,,
SYCL_GPU,8,2048,94.759942,,Row Labels,8,16,32,64,128,Grand Total,,
SYCL_GPU,8,3072,266.437555,,1024,,11.314386,12.689412,100.261542,111.914096,236.179436,,
SYCL_GPU,8,4096,639.579128,,2048,94.759942,86.699919,88.320214,,,269.780075,,
SYCL_GPU,8,5120,1288.625884,,3072,266.437555,225.101955,243.949066,,,735.488576,,
SYCL_GPU,8,6144,2248.709266,,4096,639.579128,532.648137,576.101008,,,1748.328273,,
SYCL_GPU,8,7168,3591.87979,,5120,1288.625884,1056.9946,1127.247493,,,3472.867977,,
SYCL_GPU,8,8192,5354.966256,,6144,2248.709266,1835.160705,1950.257717,,,6034.127688,,
SYCL_GPU,16,1024,11.314386,,7168,3591.87979,2926.614812,3096.533413,,,9615.028015,,
SYCL_GPU,16,2048,86.699919,,8192,5354.966256,4383.046753,4624.97431,,,14362.98732,,
SYCL_GPU,16,3072,225.101955,,Grand Total,13484.95782,11057.58127,11720.07263,100.261542,111.914096,36474.78736,,
SYCL_GPU,16,4096,532.648137,,,,,,,,,,
SYCL_GPU,16,5120,1056.9946,,,8,16,32,64,128,,,
SYCL_GPU,16,6144,1835.160705,,1024,,11.314386,12.689412,100.261542,111.914096,,,
SYCL_GPU,16,7168,2926.614812,,2048,94.759942,86.699919,88.320214,,,,,
SYCL_GPU,16,8192,4383.046753,,3072,266.437555,225.101955,243.949066,,,,,
SYCL_GPU,32,1024,12.689412,,4096,639.579128,532.648137,576.101008,,,,,
SYCL_GPU,32,2048,88.320214,,5120,1288.625884,1056.9946,1127.247493,,,,,
SYCL_GPU,32,3072,243.949066,,6144,2248.709266,1835.160705,1950.257717,,,,,
SYCL_GPU,32,4096,576.101008,,7168,3591.87979,2926.614812,3096.533413,,,,,
SYCL_GPU,32,5120,1127.247493,,8192,5354.966256,4383.046753,4624.97431,,,,,
SYCL_GPU,32,6144,1950.257717,,,,,,,,,,
SYCL_GPU,32,7168,3096.533413,,,,,,,,,,
SYCL_GPU,32,8192,4624.97431,,,,,,,,,,
SYCL_GPU,64,1024,100.261542,,,,,,,,,,
SYCL_GPU,128,1024,111.914096,,,,,,,,,,
Sequential,32,1024,2256.986278,,Sum of 2256.986278,Column Labels,,,,,,,
Sequential,32,2048,17144.29653,,Row Labels,32,64,128,Grand Total,,,,
Sequential,32,3072,58028.41271,,1024,,2451.075152,2217.678518,4668.75367,,,,
Sequential,32,4096,142728.5591,,2048,17144.29653,19336.34828,18500.86167,54981.50648,,,,
Sequential,32,5120,279182.6326,,3072,58028.41271,65854.35191,62511.42464,186394.1893,,,,
Sequential,32,6144,478796.594,,4096,142728.5591,156950.7648,144042.311,443721.6349,,,,
Sequential,32,7168,753923.8233,,5120,279182.6326,301987.8024,280297.3979,861467.8329,,,,
