type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS
SYCL_CPU,8192,16,16,42645.723957,-64620.562649,25351633,26321,13,2685160954
SYCL_CPU,8192,16,8,55982.084488,1171.743542,25296880,29251,13,2685159206
SYCL_CPU,8192,16,64,75351.093152,1602.382236,25495052,28538,13,2685161049
SYCL_CPU,8192,16,128,99719.629892,2391.811291,25285619,26339,13,2685160868
SYCL_GPU,1024,16,16,11.314386,0.147011,4198986,125688,366533,257160052
SYCL_GPU,1024,16,8,11.979873,0.177924,3542832,125529,416087,280789478
SYCL_GPU,1024,16,32,12.689412,0.147148,3614105,126917,443318,295425803
SYCL_GPU,1024,16,64,100.261542,1.425021,6817818,998906,100515,609036325
SYCL_GPU,1024,16,128,111.914096,1.638282,7691500,1078837,113403,688167551
SYCL_GPU,2048,16,16,86.699919,1.401371,13035046,174240,1959148,1154923665
SYCL_GPU,2048,16,32,88.320214,0.792974,13937838,186052,2061013,1204890974
SYCL_GPU,2048,16,8,94.759942,0.855027,14627293,169442,2285479,1311149338
SYCL_GPU,3072,16,16,225.101955,2.689116,32838044,233703,5361835,3010002893
SYCL_GPU,3072,16,32,243.949066,2.132428,33253565,242343,5421631,3039235864
SYCL_GPU,3072,16,8,266.437555,2.415341,37278997,240209,5931067,3281921026
SYCL_GPU,4096,16,16,532.648137,6.183305,68907697,343297,12789001,6875456003
SYCL_GPU,4096,16,32,576.101008,5.240116,60074005,342918,12598444,6784817769
SYCL_GPU,4096,16,8,639.579128,6.163927,67006961,322848,14573011,7725079330
SYCL_GPU,5120,16,16,1056.9946,15.139201,121744135,440939,23591536,12441960038
SYCL_GPU,5120,16,32,1127.247493,13.286834,121641716,424630,21934531,11652585023
SYCL_GPU,5120,16,8,1288.625884,11.93821,140207154,484893,28949479,14994502092
SYCL_GPU,6144,16,16,1835.160705,21.234818,208524604,569522,42464509,21946736662
SYCL_GPU,6144,16,32,1950.257717,20.593097,229535888,571507,42300235,21868923201
SYCL_GPU,6144,16,8,2248.709266,23.536854,263101506,590114,46810690,24016884614
SYCL_GPU,7168,16,16,2926.614812,36.491064,301465828,734895,65223655,33396165660
SYCL_GPU,7168,16,32,3096.533413,31.875473,320433505,786390,67132879,34305146707
SYCL_GPU,7168,16,8,3591.87979,35.321324,410407675,770802,75173590,38135806074
SYCL_GPU,8192,16,16,4383.046753,51.871814,408600928,882796,96591100,49038014688
SYCL_GPU,8192,16,32,4624.97431,44.823305,516713627,910900,96570757,49028023380
SYCL_GPU,8192,16,8,5354.966256,50.519773,589181123,945549,113930413,57297798014
Sequential,1024,16,128,2217.678518,27.919806,205822636,2551797,2147483650,33647990874
Sequential,1024,16,32,2256.986278,35.289969,220634838,1717405,2147483650,34623314584
Sequential,1024,16,64,2451.075152,27.609518,275400843,705515,2147483650,33987409751
Sequential,2048,16,32,17144.296527,285.423594,1796753690,14159272,17179869186,276818054970
Sequential,2048,16,128,18500.861667,213.703045,1652665575,16964752,17179869186,269015618436
Sequential,2048,16,64,19336.348282,222.613289,2206934819,5402148,17179869186,271730955098
Sequential,3072,16,32,58028.412709,923.139715,6068785854,48208622,57982058498,934071825365
Sequential,3072,16,128,62511.424639,699.244036,5627658356,60454411,57982058498,907738769546
Sequential,3072,16,64,65854.351911,740.32141,7512992708,17712731,57982058498,916903015028
Sequential,4096,16,32,142728.559071,1922.880219,14376336261,113527579,137438953474,2213872116886
Sequential,4096,16,128,144042.310969,1817.307096,13352091361,146161278,137438953474,2151453209376
Sequential,4096,16,64,156950.764769,1678.973246,17935997985,37818866,137438953474,2173175850393
Sequential,5120,16,32,279182.632622,3713.027281,28205590312,218492036,268435456002,4323706437476
Sequential,5120,16,128,280297.397934,3640.09868,25869994651,280664199,268435456002,4201794737908
Sequential,5120,16,64,301987.802375,3323.332453,34671883782,79401218,268435456002,4244221743031
Sequential,6144,16,32,478796.594038,6600.420991,49364638589,361023058,463856467970,7471062298974
Sequential,6144,16,128,479261.904017,6646.849666,44790953012,539480000,463856467970,7260399145841
Sequential,6144,16,64,516331.115156,6074.503059,60169264376,132250298,463856467970,7333712983212
Sequential,7168,16,32,753923.823321,-54831.138058,77588049348,587560908,736586891266,11863427213755
Sequential,7168,16,128,762591.398775,10501.009022,70779894662,919998857,736586891266,11528902237206
Sequential,7168,16,64,818678.601626,9620.768822,95176959127,216060238,736586891266,11645321860092
Sequential,8192,16,32,1133495.836338,15472.021097,114688997884,924996913,1099511627778,17708288712093
Sequential,8192,16,128,1149646.453861,15461.062222,105643283687,1635583174,1099511627778,17208939815931
Sequential,8192,16,64,1222326.16163,-51063.941215,143218035696,303683248,1099511627778,17382720673736
